id,name,play_difficulty,learn_difficulty,min_players,max_players,length,copies
46213,Telestrations,0,0,4,8,30,2
167791,Terraforming Mars,0,0,1,5,120,1
375651,That's Not a Hat,0,0,3,8,15,1
182028,Through the Ages: A New Story of Civilization,0,0,2,4,120,1
36553,Time's Up! Title Recall!,0,0,4,18,60,1
201921,Tiny Epic Quest,0,0,1,4,60,1
265736,Tiny Towns,0,0,1,6,60,1
242639,Treasure Island,0,0,2,5,45,1
282171,Trial by Trolley,0,0,3,13,90,1
233078,Twilight Imperium: Fourth Edition,0,0,3,6,480,1
361545,Twilight Inscription,0,0,1,8,120,1
134352,Two Rooms and a Boom,0,0,6,30,20,1
340466,Unfathomable,0,0,3,6,240,1
213460,Unlock!: Escape Adventures,0,0,2,6,75,1
266121,Unlock!: Heroic Adventures,0,0,1,6,60,1
228867,Unlock!: Mystery Adventures,0,0,1,6,75,1
279613,Unlock!: Timeless Adventures,0,0,1,6,90,1
296151,Viscounts of the West Kingdom,0,0,1,4,90,1
257769,Walking in Burano,0,0,1,4,40,1
115746,War of the Ring: Second Edition,0,0,2,4,180,1
262543,Wavelength,0,0,2,12,45,1
266192,Wingspan,0,0,1,5,70,1
163602,XCOM: The Board Game,0,0,1,4,120,1
